Country,Desc_country,SSM,LEI_Code,Name,BankNameShort,Finrep,Fin_year_end,Periods,TR_16,LEI_Code_TR16,TR_15,LEI_Code_TR15
SE,Sweden,N,M312WZV08Y7LYUC71685,Swedbank - group,Swedbank,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,M312WZV08Y7LYUC71685,Y,M312WZV08Y7LYUC71685
UK,United Kingdom,N,G5GSEF7VJP5I7OUK5573,Barclays Plc,Barclays Plc,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,G5GSEF7VJP5I7OUK5573,Y,G5GSEF7VJP5I7OUK5573
UK,United Kingdom,N,MLU0ZO3ML4LN2LL2TL39,HSBC Holdings Plc,HSBC Holdings,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,MLU0ZO3ML4LN2LL2TL39,Y,MLU0ZO3ML4LN2LL2TL39
UK,United Kingdom,N,549300PPXHEU2JF0AM85,Lloyds Banking Group Plc,Lloyds Banking Group,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,549300PPXHEU2JF0AM85,Y,549300PPXHEU2JF0AM85
UK,United Kingdom,N,549300XFX12G42QIKN82,Nationwide Building Society,Nationwide,Yes - IFRS,31/03,Dec 2016; Jun 2017,N,,N,
UK,United Kingdom,N,U4LOSYZ7YG4W3S5F2G91,Standard Chartered Plc,Standard Chartered,Yes - IFRS,31/12,Dec 2016; Jun 2017,N,,N,
UK,United Kingdom,N,2138005O9XJIJN4JPN90,The Royal Bank of Scotland Group Public Limited Company,RBS,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,2138005O9XJIJN4JPN90,Y,2138005O9XJIJN4JPN90
OT,Other,N,xxxxxxxxxxxxxxxxxxxx,All other banks,All other banks,,,Dec 2016; Jun 2017,Y,xxxxxxxxxxxxxxxxxxxx,N,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,2,,
